Loaded problem from /mnt/c/Users/mpeet/AppData/Local/Temp/claude/C--Users-mpeet-OneDrive-Documents-GitHub-PIETOOLS-PIETOOLS/a69ac9db-6cc4-4fd1-9dcb-b003878763dd/scratchpad/work/baseline/dumps/est_rd1/
              vector length: 693
      number of constraints: 189
           number of blocks: 5
  number of non-zeros in At: 2592
  number of non-zeros in  b: 12
  number of non-zeros in  C: 1

Analysis of the blk vector:
        1 u. block of size   4
        1 matrices of size    1 (small)
        1 matrices of size   10 (small)
        1 matrices of size   14 (small)
        1 matrices of size   32 (small)

 ||C|| = 2, ||b|| = 2

Problem parameters:
              solver max iter: 2000000
       KKT stopping tolerance: 1e-06
       sigma update threshold: 500
         sigma update stage 1: 50
         sigma update stage 2: 100
                  switch admm: 0
         switch proj max iter: 0
              switch proj tol: 0.01
                     sigscale: 2
                initial sigma: 100
    initial projection method: EIG_FP64
      final projection method: EIG_FP64
                   use LOBPCG: true
              LOBPCG max iter: 20
             LOBPCG tolerance: 1e-05
             LOBPCG warmstart: true
                 LOBPCG ratio: 0.03
            LOBPCG relaxation: 1.2
        LOBPCG rank threshold: 1e-05
           small matrix limit: 32
          medium matrix limit: 1000

 ------------------------------------------------------------------------------
                                   cuADMM
 ------------------------------------------------------------------------------
  it. | p infeas d infeas | primal obj.   dual obj. rel. gap |  time |   sigma 
 ------------------------------------------------------------------------------
 --------------- Starting with projection method EIG_FP64 ---------------------
 9400 | 2.56e-04 6.46e-05 |  1.4535e-02  2.7017e-02 1.20e-02 |  79.3 | 2.5e+01 
pobj and dobj both descend, pobj < dobj, help dual!
 9500 | 2.47e-04 6.44e-05 |  1.4494e-02  2.6952e-02 1.20e-02 |  80.2 | 1.0e+02 
 9600 | 6.24e-04 6.26e-05 |  1.4340e-02  2.6606e-02 1.18e-02 |  81.2 | 1.0e+02 
 9700 | 2.92e-04 6.15e-05 |  1.4226e-02  2.6395e-02 1.17e-02 |  82.1 | 5.0e+01 
 9800 | 2.80e-04 6.06e-05 |  1.4123e-02  2.6215e-02 1.16e-02 |  83.0 | 5.0e+01 
 9900 | 2.53e-04 6.02e-05 |  1.4063e-02  2.6115e-02 1.16e-02 |  84.0 | 2.5e+01 
pobj and dobj both descend, pobj < dobj, help dual!
 10000 | 2.46e-04 5.97e-05 |  1.4010e-02  2.6023e-02 1.16e-02 |  85.0 | 1.0e+02 
 10100 | 2.65e-04 5.89e-05 |  1.3933e-02  2.5858e-02 1.15e-02 |  85.9 | 5.0e+01 
 10200 | 2.66e-04 5.81e-05 |  1.3854e-02  2.5693e-02 1.14e-02 |  86.9 | 5.0e+01 
 10300 | 2.67e-04 5.74e-05 |  1.3776e-02  2.5532e-02 1.13e-02 |  87.8 | 5.0e+01 
 10400 | 2.70e-04 5.66e-05 |  1.3699e-02  2.5375e-02 1.12e-02 |  88.7 | 5.0e+01 
pobj and dobj both descend, pobj < dobj, help dual!
 10500 | 2.71e-04 5.59e-05 |  1.3623e-02  2.5221e-02 1.12e-02 |  89.7 | 1.0e+02 
 10600 | 4.96e-04 5.47e-05 |  1.3508e-02  2.4949e-02 1.10e-02 |  90.6 | 1.0e+02 
 10700 | 5.11e-04 5.34e-05 |  1.3385e-02  2.4673e-02 1.09e-02 |  91.5 | 1.0e+02 
 10800 | 5.04e-04 5.22e-05 |  1.3258e-02  2.4407e-02 1.07e-02 |  92.5 | 1.0e+02 
 10900 | 5.02e-04 5.11e-05 |  1.3136e-02  2.4152e-02 1.06e-02 |  93.4 | 1.0e+02 
pobj and dobj both descend, pobj < dobj, help dual!
 11000 | 5.05e-04 5.00e-05 |  1.3020e-02  2.3907e-02 1.05e-02 |  94.3 | 1.0e+02 
 11100 | 3.88e-04 4.94e-05 |  1.2932e-02  2.3765e-02 1.05e-02 |  95.2 | 5.0e+01 
 11200 | 3.63e-04 4.89e-05 |  1.2861e-02  2.3641e-02 1.04e-02 |  96.2 | 5.0e+01 
 11300 | 3.44e-04 4.84e-05 |  1.2800e-02  2.3520e-02 1.03e-02 |  97.1 | 5.0e+01 
 11400 | 3.28e-04 4.79e-05 |  1.2741e-02  2.3403e-02 1.03e-02 |  98.0 | 5.0e+01 
pobj and dobj both descend, pobj < dobj, help dual!
 11500 | 3.18e-04 4.74e-05 |  1.2683e-02  2.3288e-02 1.02e-02 |  99.0 | 1.0e+02 
 11600 | 4.36e-04 4.65e-05 |  1.2596e-02  2.3087e-02 1.01e-02 |  99.9 | 1.0e+02 
 11700 | 4.53e-04 4.57e-05 |  1.2507e-02  2.2884e-02 1.00e-02 | 100.8 | 1.0e+02 
 11800 | 4.52e-04 4.48e-05 |  1.2414e-02  2.2687e-02 9.92e-03 | 101.8 | 1.0e+02 
 11900 | 4.48e-04 4.40e-05 |  1.2322e-02  2.2496e-02 9.83e-03 | 102.7 | 1.0e+02 
pobj and dobj both descend, pobj < dobj, help dual!
 12000 | 4.45e-04 4.33e-05 |  1.2232e-02  2.2312e-02 9.74e-03 | 103.6 | 1.0e+02 
 12100 | 3.58e-04 4.29e-05 |  1.2161e-02  2.2205e-02 9.71e-03 | 104.6 | 5.0e+01 
 12200 | 3.42e-04 4.25e-05 |  1.2102e-02  2.2110e-02 9.68e-03 | 105.6 | 5.0e+01 
 12300 | 3.32e-04 4.21e-05 |  1.2049e-02  2.2018e-02 9.64e-03 | 106.6 | 5.0e+01 
 12400 | 3.24e-04 4.18e-05 |  1.1999e-02  2.1928e-02 9.60e-03 | 107.6 | 5.0e+01 
pobj and dobj both descend, pobj < dobj, help dual!
 12500 | 3.18e-04 4.15e-05 |  1.1951e-02  2.1840e-02 9.57e-03 | 108.5 | 1.0e+02 
 12600 | 3.79e-04 4.08e-05 |  1.1879e-02  2.1686e-02 9.49e-03 | 109.5 | 1.0e+02 
 12700 | 3.85e-04 4.02e-05 |  1.1806e-02  2.1529e-02 9.41e-03 | 110.4 | 1.0e+02 
